"Table Physical_Name","Comment","Column Physical_Name","Comment","Physical Data Type",
EVALTN_WORK_STP,,EVALTN_WORK_STP_ID,,BIGINT,
EVALTN_WORK_STP,,ATSTTN_DOS,,DATE,
EVALTN_WORK_STP,,ATSTTN_TYPE_ID,,BIGINT,
EVALTN_WORK_STP,,MDCL_REC_TYPE_ID,,BIGINT,
EVALTN_WORK_STP,,MDCL_REC_ADMSN_DT,,DATE,
EVALTN_WORK_STP,,MDCL_REC_DSCHRG_DT,,DATE,
EVALTN_WORK_STP,,COVERSHEET_ID,A system generated unique identifier,BIGINT,
EVALTN_WORK_STP,,USER_ID,A system generated unique identifier,BIGINT,
EVALTN_WORK_STP,,ACTV_IND,Active Indicator ,TINYINT,
EVALTN_WORK_STP,,SMPL_APLCTN_MOD_QUE_WORK_STP_ID,A system generated unique identifier,BIGINT,
EVALTN_WORK_STP,,EVALTN_WORK_STP_STUS_ID,,BIGINT,
EVALTN_WORK_STP,,CREATD_DT,,DATETIME,
EVALTN_WORK_STP,,CREATD_BY,,INTEGER,
EVALTN_WORK_STP,,MDFYD_DT,,DATETIME,
EVALTN_WORK_STP,,MDFYD_BY,,INTEGER,
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",ATSTTN_TYPE_ID,,BIGINT,
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",ATSTTN_TYPE_NAME,,VARCHAR(300),
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",ATSTTN_TYPE_DESC,,VARCHAR(500),
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",CREATD_DT,,DATETIME,
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",CREATD_BY,,INTEGER,
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",MDFYD_DT,,DATETIME,
RFRNC_ATSTTN_TYPE,"A CMS generated attestation, non cms att, No att, hand written MR",MDFYD_BY,,INTEGER,
RFRNC_INVLD_ATSTTN_RSN,,INVLD_ATSTTN_RSN_ID,,BIGINT,
RFRNC_INVLD_ATSTTN_RSN,,INVLD_ATSTTN_RSN_NAME,,VARCHAR(300),
RFRNC_INVLD_ATSTTN_RSN,,INVLD_ATTESATTION_RSN_DESC,,VARCHAR(500),
RFRNC_INVLD_ATSTTN_RSN,,CREATD_DT,,DATETIME,
RFRNC_INVLD_ATSTTN_RSN,,CREATD_BY,,INTEGER,
RFRNC_INVLD_ATSTTN_RSN,,MDFYD_DT,,DATETIME,
RFRNC_INVLD_ATSTTN_RSN,,MDFYD_BY,,INTEGER,
WORK_STP_CMT,,EVALTN_WORK_STP_ID,,BIGINT,
WORK_STP_CMT,,WORK_STP_CMT_ID,,BIGINT,
WORK_STP_CMT,,WORK_STP_CMT_TYPE_ID,,BIGINT,
WORK_STP_CMT,,CMT,,VARCHAR(3500),
WORK_STP_CMT,,CREATD_DT,,DATETIME,
WORK_STP_CMT,,CREATD_BY,,INTEGER,
WORK_STP_CMT,,MDFYD_DT,,DATETIME,
WORK_STP_CMT,,MDFYD_BY,,INTEGER,
RFRNC_INVLD_MDCL_REC_RSN,,INVLD_MDCL_REC_RSN_ID,,BIGINT,
RFRNC_INVLD_MDCL_REC_RSN,,INVLD_MDCL_REC_RSN_NAME,,VARCHAR(300),
RFRNC_INVLD_MDCL_REC_RSN,,INVLD_MDCL_REC_RSN_DESC,,VARCHAR(500),
RFRNC_INVLD_MDCL_REC_RSN,,CREATD_DT,,DATETIME,
RFRNC_INVLD_MDCL_REC_RSN,,CREATD_BY,,INTEGER,
RFRNC_INVLD_MDCL_REC_RSN,,MDFYD_DT,,DATETIME,
RFRNC_INVLD_MDCL_REC_RSN,,MDFYD_BY,,INTEGER,
RFRNC_INVLD_MDCL_REC_QSTN,,INVLD_MDCL_REC_QSTN_ID,,BIGINT,
RFRNC_INVLD_MDCL_REC_QSTN,,INVLD_MDCL_REC_QSTN_NAME,,VARCHAR(300),
RFRNC_INVLD_MDCL_REC_QSTN,,INVLD_MDCL_REC_QSTN_DESC,,VARCHAR(500),
RFRNC_INVLD_MDCL_REC_QSTN,,CREATD_DT,,DATETIME,
RFRNC_INVLD_MDCL_REC_QSTN,,CREATD_BY,,INTEGER,
RFRNC_INVLD_MDCL_REC_QSTN,,MDFYD_DT,,DATETIME,
RFRNC_INVLD_MDCL_REC_QSTN,,MDFYD_BY,,INTEGER,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,INVLD_MDCL_REC_QSTN_ID,,BIGINT,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,RSPNS,,CHAR(18),
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,EVALTN_WORK_STP_ID,,BIGINT,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,MDCL_REC_NON_CMPLNC_RSN_ID,,BIGINT,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN_ID,,BIGINT,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,CREATD_DT,,DATETIME,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,CREATD_BY,,INTEGER,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,MDFYD_DT,,DATETIME,
INVLD_MDCL_REC_QSTN_NON_CMPLNC_RSN,,MDFYD_BY,,INTEGER,
EVALTN_WORK_STP_INVLD_ATSTTN_RSN,,EVALTN_WORK_STP_ID,,BIGINT,
EVALTN_WORK_STP_INVLD_ATSTTN_RSN,,INVLD_ATSTTN_RSN_ID,,BIGINT,
EVALTN_WORK_STP_INVLD_ATSTTN_RSN,,EVALTN_WORK_STP_INVLD_ATSTTN_RSN_ID,,BIGINT,
EVALTN_WORK_STP_INVLD_ATSTTN_RSN,,CREATD_DT,,DATETIME,
EVALTN_WORK_STP_INVLD_ATSTTN_RSN,,CREATD_BY,,INTEGER,
